<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30,20160711,643.7700,648.3700,633.8900,636.0200,53374610
^VN30,20160712,637.6900,641.5800,633.5000,641.5800,54432900
^VN30,20160713,645.0400,657.6600,645.0400,656.8900,74595200
^VN30,20160714,657.0500,664.4300,651.1400,651.1400,68755830
^VN30,20160715,653.7500,656.7300,649.5400,653.6300,59301579
^VN30,20160718,653.8200,662.4100,652.5100,662.2900,55776030
^VN30,20160719,664.8200,665.1100,647.3300,654.1700,56698900
^VN30,20160720,654.4500,654.4900,645.1500,645.1500,50732450
^VN30,20160721,647.5100,650.1200,642.2200,643.1600,40079800
^VN30,20160722,642.1900,642.3500,626.4000,634.3400,79016203
^VN30,20160725,636.3700,638.1700,631.1800,633.2100,37662900
^VN30,20160726,633.5700,636.0300,627.9700,634.6800,36720740
^VN30,20160727,634.6700,640.4100,634.4200,639.6300,54226929
^VN30,20160728,639.5800,644.3300,636.6100,644.3300,53603695
^VN30,20160729,644.0000,645.3900,639.1100,639.1700,45541430
^VN30,20160801,642.0400,642.0400,633.4200,635.4100,38436420
^VN30,20160802,631.0900,631.1300,620.8500,623.1600,65403000
^VN30,20160803,620.8600,622.4000,616.5300,619.8000,35623690
^VN30,20160804,620.4200,626.7900,617.4100,617.4100,44945390
^VN30,20160805,615.0600,615.6500,608.8400,615.0600,52503620
^VN30,20160808,614.3800,616.9700,609.2100,614.6500,38359140
^VN30,20160809,614.1600,621.8800,614.1600,621.4300,38938100
^VN30,20160810,621.1800,633.3900,621.1800,632.8600,50914560
^VN30,20160811,634.2700,645.1000,633.9500,645.1000,67330260
^VN30,20160812,650.5500,652.8700,638.1000,641.1100,58420640
^VN30,20160815,640.5900,645.6900,639.0800,645.6600,57965610
^VN30,20160816,647.1500,650.4500,645.4800,646.4400,78224250
^VN30,20160817,648.3400,650.9800,645.5300,650.8200,54679850
^VN30,20160818,653.3600,656.3300,646.5900,652.8700,57331149
^VN30,20160819,657.3900,659.4300,653.6700,654.4200,51050685
^VN30,20160822,654.4300,655.3300,647.4600,647.4600,54790920
^VN30,20160823,643.9000,651.1900,642.5000,650.9200,47351190
^VN30,20160824,651.8300,656.9300,650.2100,650.9500,39441740
^VN30,20160825,649.5100,650.6900,646.7100,649.0600,46888574
^VN30,20160826,652.6400,659.3400,652.6400,656.7100,50271730
^VN30,20160829,660.0700,666.0200,656.2300,656.2300,46673020
^VN30,20160830,655.3900,661.2000,654.6600,661.2000,38966900
^VN30,20160831,662.4100,666.7000,661.3200,665.2500,49948570
^VN30,20160901,665.2000,665.2000,655.2800,659.0900,42526628
^VN30,20160905,660.2400,661.1300,652.1300,655.0800,53481330
^VN30,20160906,656.0600,659.2700,656.0200,656.0200,50182654
^VN30,20160907,655.1900,655.7500,647.4700,654.7900,42238570
^VN30,20160908,654.5300,661.5400,654.3800,659.2500,59949430
^VN30,20160909,662.0400,663.6800,657.6400,658.6600,48605546
^VN30,20160912,657.6100,657.6100,646.8700,651.6300,45050938
^VN30,20160913,650.4100,653.8500,647.3300,651.8000,39096623
^VN30,20160914,651.1500,652.5000,646.9300,646.9300,44706030
^VN30,20160915,646.3700,649.9700,644.0800,645.0200,45951500
^VN30,20160916,642.2900,645.7200,639.3700,639.3700,124133450
^VN30,20160919,646.4700,648.8300,644.2300,648.8300,52715110
^VN30,20160920,648.7700,653.6600,643.6000,653.6600,59487570
^VN30,20160921,653.6700,658.0500,652.6200,657.4400,73000820
^VN30,20160922,659.6500,665.2700,659.3600,662.3100,56594760
^VN30,20160923,662.2300,664.3100,660.8500,664.3100,69759194
^VN30,20160926,662.7900,666.9000,661.7100,666.1000,59430141
^VN30,20160927,665.3000,671.2100,664.4700,671.2100,65243450
^VN30,20160928,670.3200,672.9200,667.7200,669.1700,56045158
^VN30,20160929,671.3900,674.1100,668.3400,670.3000,50409700
^VN30,20160930,669.3400,670.5500,665.6500,668.4400,52620270
^VN30,20161003,668.4700,670.5200,660.2900,662.4200,60248420
^VN30,20161004,661.7700,665.5300,657.4400,661.8900,55633810
^VN30,20161005,663.5600,665.9800,661.7600,663.9500,55139590
^VN30,20161006,665.2300,667.1500,663.1200,663.1200,74609993
^VN30,20161007,665.3100,666.3300,654.0500,657.5400,55753190
^VN30,20161010,657.5800,657.9200,647.1700,647.2500,55713920
^VN30,20161011,649.0800,654.8800,641.4500,654.8800,72022976
^VN30,20161012,655.0300,658.0200,652.7100,653.2500,50572200
^VN30,20161013,651.6400,658.4900,649.6300,658.2900,54456330
^VN30,20161014,656.9200,662.0500,656.8900,657.5900,78563431
^VN30,20161017,657.0800,657.8100,650.4600,650.4600,48262270
^VN30,20161018,649.0800,653.8700,647.7700,653.3200,63293460
^VN30,20161019,654.4500,660.7700,654.4500,659.3900,77569600
^VN30,20161020,661.1100,661.2000,655.7500,657.1500,59846979
^VN30,20161021,657.3800,658.7700,653.7100,655.1700,49539287
